"","X","grid","taxon","domin","date","site"
"1",1,"J52756019","Holcus lanatus",9,"04/08/2022","Shamrock Island Corral"
"2",2,"J52756019","Agrostis capillaris",8,"04/08/2022","Shamrock Island Corral"
"3",3,"J52756019","Trifolium repens",7,"04/08/2022","Shamrock Island Corral"
"4",4,"J52756019","Anthoxanthum odoratum",5,"04/08/2022","Shamrock Island Corral"
"5",5,"J52756019","Rhinanthus minor",5,"04/08/2022","Shamrock Island Corral"
"6",6,"J52756019","Hypochaeris radicata",4,"04/08/2022","Shamrock Island Corral"
"7",7,"J52756019","Potentilla erecta",4,"04/08/2022","Shamrock Island Corral"
"9",9,"J52756019","Arrhenatherum elatius",3,"04/08/2022","Shamrock Island Corral"
"10",10,"J52756019","Dactylis glomerata",3,"04/08/2022","Shamrock Island Corral"
"11",11,"J52756019","Plantago lanceolata",3,"04/08/2022","Shamrock Island Corral"
"12",12,"J52756019","Rumex acetosa",3,"04/08/2022","Shamrock Island Corral"
"13",13,"J52756019","Viola riviniana",3,"04/08/2022","Shamrock Island Corral"
"14",14,"J52756019","Centaurea nigra",2,"04/08/2022","Shamrock Island Corral"
"15",15,"J52756019","Potentilla anglica",2,"04/08/2022","Shamrock Island Corral"
"18",18,"J52756019","Cirsium vulgare",1,"04/08/2022","Shamrock Island Corral"
"19",19,"J52756019","Crataegus monogyna",1,"04/08/2022","Shamrock Island Corral"
"20",20,"J52756019","Hedera helix",1,"04/08/2022","Shamrock Island Corral"
"21",21,"J52756019","Lathyrus pratensis",1,"04/08/2022","Shamrock Island Corral"
"22",22,"J52756019","Prunella vulgaris",1,"04/08/2022","Shamrock Island Corral"
"23",23,"J52756019","Prunus spinosa",1,"04/08/2022","Shamrock Island Corral"
"24",24,"J52756019","Ranunculus acris",1,"04/08/2022","Shamrock Island Corral"
"25",25,"J52756019","Rubus fruticosus agg.",1,"04/08/2022","Shamrock Island Corral"
"26",26,"J52756019","Ulex europaeus",1,"04/08/2022","Shamrock Island Corral"
"27",27,"J52756019","Lolium perenne",0.5,"04/08/2022","Shamrock Island Corral"
"28",28,"J52756019","Conopodium majus",NA,"04/08/2022","Shamrock Island Corral"
"29",29,"J52756019","Arum maculatum",NA,"04/08/2022","Shamrock Island Corral (beside gate)"
"30",30,"J52756019","Galium aparine",NA,"04/08/2022","Shamrock Island Corral (beside gate)"
"31",31,"J52756019","Vicia cracca",NA,"04/08/2022","Shamrock Island Corral (beside gate)"
"32",32,"J52766019","Cerastium fontanum",2,"04/08/2022","Shamrock Island Tilly's Bay"
"34",34,"J52766019","Festuca rubra",5.5,"04/08/2022","Shamrock Island Tilly's Bay"
"35",35,"J52766019","Poa humilis",3,"04/08/2022","Shamrock Island Tilly's Bay"
"37",37,"J52766019","Festuca arundinacea",4,"04/08/2022","Shamrock Island Tilly's Bay"
"38",38,"J52766019","Agrostis stolonifera",7,"04/08/2022","Shamrock Island Tilly's Bay"
"39",39,"J52766019","Arrhenatherum elatius",1,"04/08/2022","Shamrock Island Tilly's Bay"
"40",40,"J52766019","Lotus corniculatus",1,"04/08/2022","Shamrock Island Tilly's Bay"
"41",41,"J52766019","Oenanthe lachenalii",3,"04/08/2022","Shamrock Island Tilly's Bay"
"42",42,"J52766019","Potentilla anserina",2,"04/08/2022","Shamrock Island Tilly's Bay"
"43",43,"J52766019","Rumex crispus",2,"04/08/2022","Shamrock Island Tilly's Bay"
"44",44,"J52766019","Sonchus arvensis",5,"04/08/2022","Shamrock Island Tilly's Bay"
"45",45,"J52766019","Vicia cracca",0,"04/08/2022","Shamrock Island Tilly's Bay"
"46",46,"J52756020","Cirsium vulgare",NA,"19/08/2022","Shamrock"
"47",47,"J52746022","Armeria maritima",7,"19/08/2022","Shamrock Mid Saltmarsh"
